"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 10:12:28 GMT 2022","Wed Jun 29 10:12:29 GMT 2022","1263","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Wed Jun 29 10:12:32 GMT 2022","Wed Jun 29 10:12:32 GMT 2022","488","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
"passed","Wed Jun 29 10:12:27 GMT 2022","Wed Jun 29 10:12:28 GMT 2022","1502","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Wed Jun 29 10:12:31 GMT 2022","Wed Jun 29 10:12:32 GMT 2022","503","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"passed","Wed Jun 29 10:12:30 GMT 2022","Wed Jun 29 10:12:31 GMT 2022","951","","LoginTest","","LoginTest","logTest2","logTest2()",""
"failed","Wed Jun 29 10:12:25 GMT 2022","Wed Jun 29 10:12:26 GMT 2022","742","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Wed Jun 29 10:12:13 GMT 2022","Wed Jun 29 10:12:18 GMT 2022","4718","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Wed Jun 29 10:12:12 GMT 2022","Wed Jun 29 10:12:13 GMT 2022","1495","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Wed Jun 29 10:12:26 GMT 2022","Wed Jun 29 10:12:27 GMT 2022","735","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
"passed","Wed Jun 29 10:12:18 GMT 2022","Wed Jun 29 10:12:25 GMT 2022","6935","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Wed Jun 29 10:12:29 GMT 2022","Wed Jun 29 10:12:30 GMT 2022","1090","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Wed Jun 29 10:12:10 GMT 2022","Wed Jun 29 10:12:12 GMT 2022","1978","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
