"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 10:03:12 GMT 2022","Wed Jun 29 10:03:14 GMT 2022","1895","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Wed Jun 29 10:03:33 GMT 2022","Wed Jun 29 10:03:34 GMT 2022","878","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"failed","Wed Jun 29 10:03:26 GMT 2022","Wed Jun 29 10:03:27 GMT 2022","851","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Wed Jun 29 10:03:27 GMT 2022","Wed Jun 29 10:03:28 GMT 2022","856","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
"passed","Wed Jun 29 10:03:31 GMT 2022","Wed Jun 29 10:03:32 GMT 2022","1374","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Wed Jun 29 10:03:28 GMT 2022","Wed Jun 29 10:03:30 GMT 2022","1745","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Wed Jun 29 10:03:32 GMT 2022","Wed Jun 29 10:03:33 GMT 2022","1008","","LoginTest","","LoginTest","logTest2","logTest2()",""
"passed","Wed Jun 29 10:03:30 GMT 2022","Wed Jun 29 10:03:31 GMT 2022","1501","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Wed Jun 29 10:03:19 GMT 2022","Wed Jun 29 10:03:26 GMT 2022","7103","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Wed Jun 29 10:03:10 GMT 2022","Wed Jun 29 10:03:12 GMT 2022","2473","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
"passed","Wed Jun 29 10:03:14 GMT 2022","Wed Jun 29 10:03:19 GMT 2022","4995","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Wed Jun 29 10:03:34 GMT 2022","Wed Jun 29 10:03:35 GMT 2022","667","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
