"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 11:24:23 GMT 2022","Sun Jul 03 11:24:27 GMT 2022","4634","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Sun Jul 03 11:24:38 GMT 2022","Sun Jul 03 11:24:39 GMT 2022","1080","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Sun Jul 03 11:24:19 GMT 2022","Sun Jul 03 11:24:21 GMT 2022","1930","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
"failed","Sun Jul 03 11:24:34 GMT 2022","Sun Jul 03 11:24:35 GMT 2022","744","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Sun Jul 03 11:24:37 GMT 2022","Sun Jul 03 11:24:38 GMT 2022","1211","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Sun Jul 03 11:24:35 GMT 2022","Sun Jul 03 11:24:36 GMT 2022","738","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
"passed","Sun Jul 03 11:24:27 GMT 2022","Sun Jul 03 11:24:34 GMT 2022","6893","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Sun Jul 03 11:24:40 GMT 2022","Sun Jul 03 11:24:41 GMT 2022","471","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"passed","Sun Jul 03 11:24:39 GMT 2022","Sun Jul 03 11:24:40 GMT 2022","935","","LoginTest","","LoginTest","logTest2","logTest2()",""
"passed","Sun Jul 03 11:24:36 GMT 2022","Sun Jul 03 11:24:37 GMT 2022","1464","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Sun Jul 03 11:24:21 GMT 2022","Sun Jul 03 11:24:23 GMT 2022","1472","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Sun Jul 03 11:24:41 GMT 2022","Sun Jul 03 11:24:41 GMT 2022","474","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
