"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 11:07:47 GMT 2022","Sun Jul 03 11:07:48 GMT 2022","1526","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Sun Jul 03 11:07:38 GMT 2022","Sun Jul 03 11:07:45 GMT 2022","7047","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Sun Jul 03 11:07:46 GMT 2022","Sun Jul 03 11:07:47 GMT 2022","743","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
"failed","Sun Jul 03 11:07:45 GMT 2022","Sun Jul 03 11:07:46 GMT 2022","755","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Sun Jul 03 11:07:30 GMT 2022","Sun Jul 03 11:07:32 GMT 2022","1965","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
"passed","Sun Jul 03 11:07:51 GMT 2022","Sun Jul 03 11:07:52 GMT 2022","1025","","LoginTest","","LoginTest","logTest2","logTest2()",""
"passed","Sun Jul 03 11:07:50 GMT 2022","Sun Jul 03 11:07:51 GMT 2022","1110","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Sun Jul 03 11:07:32 GMT 2022","Sun Jul 03 11:07:34 GMT 2022","1444","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Sun Jul 03 11:07:34 GMT 2022","Sun Jul 03 11:07:38 GMT 2022","4707","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Sun Jul 03 11:07:48 GMT 2022","Sun Jul 03 11:07:50 GMT 2022","1234","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Sun Jul 03 11:07:52 GMT 2022","Sun Jul 03 11:07:52 GMT 2022","497","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"passed","Sun Jul 03 11:07:52 GMT 2022","Sun Jul 03 11:07:53 GMT 2022","454","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
