"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 04 15:09:34 GMT 2022","Mon Jul 04 15:09:35 GMT 2022","927","","RegistrationTest","","RegistrationTest","registrationTest2","registrationTest2()",""
"passed","Mon Jul 04 15:09:40 GMT 2022","Mon Jul 04 15:09:41 GMT 2022","1363","","LoginTest","","LoginTest","logTest1","logTest1()",""
"passed","Mon Jul 04 15:09:43 GMT 2022","Mon Jul 04 15:09:44 GMT 2022","704","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestAccept","termsTestAccept()",""
"passed","Mon Jul 04 15:09:35 GMT 2022","Mon Jul 04 15:09:36 GMT 2022","888","","RegistrationTest","","RegistrationTest","regTest","regTest()",""
"passed","Mon Jul 04 15:09:19 GMT 2022","Mon Jul 04 15:09:21 GMT 2022","1989","","MultiPageListTest","","MultiPageListTest","MultiPageBlogTest","MultiPageBlogTest()",""
"passed","Mon Jul 04 15:09:17 GMT 2022","Mon Jul 04 15:09:19 GMT 2022","2512","","MultiPageListTest","","MultiPageListTest","MultiPagePortfolioTest","MultiPagePortfolioTest()",""
"passed","Mon Jul 04 15:09:37 GMT 2022","Mon Jul 04 15:09:40 GMT 2022","2679","","GetDataTest","","GetDataTest","GetNameCardTest","GetNameCardTest()",""
"passed","Mon Jul 04 15:09:21 GMT 2022","Mon Jul 04 15:09:26 GMT 2022","4967","","NewDataInputTest","","NewDataInputTest","NewDataInvalidEmailTest","NewDataInvalidEmailTest()",""
"passed","Mon Jul 04 15:09:36 GMT 2022","Mon Jul 04 15:09:37 GMT 2022","1836","","GetDataTest","","GetDataTest","getBlogDataTest","getBlogDataTest()",""
"passed","Mon Jul 04 15:09:43 GMT 2022","Mon Jul 04 15:09:43 GMT 2022","691","","TermsAndConditionsTest","","TermsAndConditionsTest","termsTestX","termsTestX()",""
"passed","Mon Jul 04 15:09:26 GMT 2022","Mon Jul 04 15:09:34 GMT 2022","7498","","NewDataInputTest","","NewDataInputTest","NewDataGetInTouch","NewDataGetInTouch()",""
"passed","Mon Jul 04 15:09:41 GMT 2022","Mon Jul 04 15:09:43 GMT 2022","1101","","LoginTest","","LoginTest","logTest2","logTest2()",""
